Liam;17;5
Jonas;57;7
Liam;42;3
Jonas;18;9
Liam;27;90
Jonas;28;64
Liam;28;34
Jonas;38;86
Liam;6;86
Pennywise;8;65
null;68;22
number one;86;5
sally;12;27
Player 1;148;1
